15:04:16.652 [Thread-1 (_run) ] INFO     serial_controller.serial_handler Scanning for STM32 on COM ports...
15:04:22.898 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(232,1982) -> roll=-874 pitch=0
15:04:22.898 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2005,2006) -> yaw=0 throttle=489
15:04:23.000 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(919,1937) -> roll=-501 pitch=0
15:04:23.000 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2005,2006) -> yaw=0 throttle=489
15:04:23.101 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(919,1937) -> roll=-501 pitch=0
15:04:23.102 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2009) -> yaw=0 throttle=490
15:04:23.203 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(919,1937) -> roll=-501 pitch=0
15:04:23.203 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2009) -> yaw=0 throttle=490
15:04:23.303 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1884,1885) -> roll=0 pitch=0
15:04:23.304 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2008) -> yaw=0 throttle=490
15:04:23.405 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1884,1885) -> roll=0 pitch=0
15:04:23.406 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2004,2008) -> yaw=0 throttle=490
15:04:23.508 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1861) -> roll=0 pitch=0
15:04:23.508 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2009) -> yaw=0 throttle=490
15:04:23.609 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1861) -> roll=0 pitch=0
15:04:23.609 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2009) -> yaw=0 throttle=490
15:04:23.710 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1860) -> roll=0 pitch=0
15:04:23.710 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2005,2010) -> yaw=0 throttle=490
15:04:23.811 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1860) -> roll=0 pitch=0
15:04:23.811 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2005,2010) -> yaw=0 throttle=490
15:04:23.831 [MainThread      ] INFO     serial_controller.status_builder StatusBuilder: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:23.831 [MainThread      ] INFO     serial_controller.serial_handler PC -> STM32: StatusUpdate(armed=False, manual_mode=True, is_flying=False)
15:04:23.912 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1862) -> roll=0 pitch=0
15:04:23.912 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2009,2009) -> yaw=0 throttle=490
15:04:24.013 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1862) -> roll=0 pitch=0
15:04:24.013 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2009,2009) -> yaw=0 throttle=490
15:04:24.113 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1860,1863) -> roll=0 pitch=0
15:04:24.114 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2010) -> yaw=0 throttle=490
15:04:24.215 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1860,1863) -> roll=0 pitch=0
15:04:24.215 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2010) -> yaw=0 throttle=490
15:04:24.316 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1861) -> roll=0 pitch=0
15:04:24.316 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2005) -> yaw=0 throttle=489
15:04:24.417 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1861) -> roll=0 pitch=0
15:04:24.418 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2005) -> yaw=0 throttle=489
15:04:24.519 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1861) -> roll=0 pitch=0
15:04:24.519 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2009) -> yaw=0 throttle=490
15:04:24.620 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1859,1861) -> roll=0 pitch=0
15:04:24.621 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J2 raw=(2006,2009) -> yaw=0 throttle=490
15:04:24.722 [ManualControl   ] DEBUG    mavlink.uav_commads.commands.direction_commands J1 raw=(1862,1864) -> roll=0 pitch=0
